city,subregion,parking,population,lat,lon,parking_per_pop,region,%_parking
New York City,NY,12.3,8930002,40.7127281,-74.0060152,0.05975831333164634,us,0.006093013908454196
Los Angeles,CA,110.1,3919973,34.0536909,-118.242766,1.223861485617915,us,0.05477692212024499
Chicago,IL,49.8,2756546,41.8755616,-87.6244212,0.7862352818925807,us,0.024745717751840243
Houston,TX,167.2,2345606,29.7589382,-95.3676974,3.1048593710338226,us,0.0831532600405301
Phoenix,AZ,165.9,1640641,33.4484367,-112.074141,4.403432174701688,us,0.0824873124792674
Philadelphia,PA,97.2,1619355,39.9527237,-75.1635262,2.6133237900028603,us,0.04831895918811185
San Antonio,TX,131.1,1456069,29.4246002,-98.4951405,3.922939110215556,us,0.06521925075524194
San Diego,CA,99.6,1402838,32.7174202,-117.1627728,3.0924685941619323,us,0.04953305354139185
Dallas,TX,171.3,1325691,32.7762719,-96.7968559,5.627067614378602,us,0.08517393732272423
San Jose,CA,95.8,1026700,37.3361663,-121.890591,4.0632262695663695,us,0.04763178444046875
Austin,TX,62.5,996147,30.2711286,-97.7436995,2.7337500205956404,us,0.031093135032455366
Jacksonville,FL,85.0,975177,30.3321838,-81.655651,3.7956746363080014,us,0.042262453870087036
Fort Worth,TX,91.4,954457,32.753177,-97.3327459,4.17029785023714,us,0.04544705269273805
Columbus,OH,215.0,929492,39.9622601,-83.0007065,10.077523006909043,us,0.10695023342255669
Charlotte,NC,103.3,903211,35.2272086,-80.8430827,4.980071917076841,us,0.05135788314495715
Indianapolis,IN,351.4,901082,39.7683331,-86.1583502,16.987321516816333,us,0.17477185800334194
San Francisco,CA,60.9,887711,37.7790262,-122.419906,2.9894379960845523,us,0.030300056186254403
Seattle,WA,68.6,762687,47.6038321,-122.330062,3.9203180268363385,us,0.03413893162145842
Denver,CO,188.7,738594,39.7392364,-104.984862,11.126366871710054,us,0.09382993888842531
Washington,DC,33.9,707109,38.8950368,-77.0365427,2.085756418817477,us,0.016839618018086415
Nashville,TN,172.3,707091,36.1622767,-86.7742984,10.613210016967239,us,0.08568491100098559
Oklahoma City,OK,120.1,701266,35.4729886,-97.5170536,7.46112937846287,us,0.05974060773059808
Boston,MA,87.7,687257,42.3554334,-71.060511,5.559035245181017,us,0.04362152875988029
El Paso,TX,4.3,684753,31.7865623,-106.441207,0.2751666259099829,us,0.002151354525449548
Portland,OR,120.4,666249,45.5202471,-122.674194,7.870864492318222,us,0.059874415650800934
Las Vegas,NV,115.7,653533,36.1672559,-115.148516,7.713638394228031,us,0.05755844866006583
Memphis,TN,22.0,630348,35.1335022,-89.9668758,1.5172164712138865,us,0.010919687510395007
Detroit,MI,224.5,624177,42.3315509,-83.0466403,15.667542477830994,us,0.11165827767399639
Baltimore,MD,125.2,578658,39.2908816,-76.610759,9.423071396311578,us,0.06225822369720269
Milwaukee,WI,185.2,573700,43.0349931,-87.922497,14.05826007474328,us,0.09208708072838549
Albuquerque,NM,126.0,568301,35.0841034,-106.650985,9.659778473176406,us,0.0626798385829138
Fresno,CA,93.9,551595,36.7394421,-119.7848307,7.41436751326802,us,0.046695680872455625
Tucson,AZ,190.1,547131,32.2228765,-110.9748477,15.135448734084989,us,0.09455160512061535
Sacramento,CA,80.2,536635,38.5810606,-121.493895,6.509485576554877,us,0.03988484840973399
Kansas City,MO,220.7,517750,39.100105,-94.5781416,18.564099201870448,us,0.10974285903864331
Mesa,AZ,49.2,517302,33.4151117,-111.8314792,4.143247546630252,us,0.024471879279455346
Atlanta,GA,113.4,514457,33.7489924,-84.3902644,9.605616084627016,us,0.05642305380793895
Omaha,NE,142.2,501469,41.2587459,-95.9383758,12.353756935775799,us,0.0707335451288047
Colorado Springs,CO,90.5,491467,38.8339578,-104.825348,8.02503154078154,us,0.04503222362071379
Raleigh,NC,151.9,480419,35.7803977,-78.6390989,13.768978411162214,us,0.07552733766862563
Long Beach,CA,68.2,467638,33.7690164,-118.191604,6.351870422648584,us,0.033915147223002894
Virginia Beach,VA,65.7,463766,36.8529841,-75.9774183,6.1689092068459805,us,0.03266551929823914
Miami,FL,67.4,450797,25.7741728,-80.19362,6.50867825707659,us,0.03350087134935653
Oakland,CA,122.6,450630,37.8044557,-122.271356,11.855666148607359,us,0.060999790619117755
