city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region
New York,New York,13.2,8467513,40.7127281,-74.0060152,0.00822154591918898,us
Los Angeles,California,50.3,3849297,34.0536909,-118.242766,0.06898632965666832,us
Chicago,Illinois,8.9,2696555,41.8755616,-87.6244212,0.01743688350313477,us
Houston,Texas,60.2,2288250,29.7589382,-95.3676974,0.13884985839274394,us
Phoenix,Arizona,9.9,1624569,33.4484367,-112.074141,0.03228113091013799,us
Philadelphia,Pennsylvania,21.3,1576251,39.9527237,-75.1635262,0.07137270269309838,us
San Antonio,Texas,45.9,1451853,29.4246002,-98.4951405,0.16694723054115992,us
San Diego,California,48.1,1381611,32.7174202,-117.1627728,0.18376383695594134,us
Dallas,Texas,87.0,1288457,32.7762719,-96.7968559,0.3564832941254,us
San Jose,California,45.9,983489,37.3361663,-121.890591,0.24630764733987362,us
Austin,Texas,14.7,964177,30.2711286,-97.7436995,0.08042862586897,us
Jacksonville,Florida,17.8,954614,30.3321838,-81.655651,0.09830190596506981,us
Fort Worth,Texas,58.8,935508,32.753177,-97.3327459,0.3317173399000433,us
Columbus,Ohio,46.2,906528,39.9622601,-83.0007065,0.2688059257329587,us
Indianapolis,Indiana,17.2,882039,39.7683331,-86.1583502,0.10313312641199504,us
Charlotte,North Carolina,52.8,879709,35.2272086,-80.8430827,0.31716292105405486,us
San Francisco,California,18.3,815201,37.7790262,-122.419906,0.1188018026392407,us
Seattle,Washington,41.2,733919,47.6038321,-122.330062,0.29632735226346574,us
Denver,Colorado,0,711463,39.7392364,-104.984862,0.0,us
Oklahoma City,Oklahoma,13.6,687725,35.4729886,-97.5170536,0.10478126433305054,us
Nashville,Tennessee,35.6,678851,36.1622767,-86.7742984,0.27717208777840824,us
El Paso,Texas,45.3,678415,31.7865623,-106.441207,0.3523668076969397,us
Washington,District of Columbia,17.8,670050,38.8950368,-77.0365427,0.14063496209412338,us
Boston,Massachusetts,32.0,654776,42.3554334,-71.060511,0.25840022306891025,us
Las Vegas,Nevada,67.5,646790,36.1672559,-115.148516,0.5508896082698749,us
Portland,Oregon,45.1,641162,45.5202471,-122.674194,0.37172471148399966,us
Detroit,Michigan,38.6,632464,42.3315509,-83.0466403,0.32197143687492885,us
Louisville,Kentucky,33.9,628594,38.2542376,-85.759407,0.285156047091689,us
Memphis,Tennessee,15.9,628127,35.1460249,-90.0517638,0.1333055552981953,us
Baltimore,Maryland,17.3,576498,39.2908816,-76.610759,0.15839097967679341,us
Milwaukee,Wisconsin,48.7,569330,43.0349931,-87.922497,0.45134198455011504,us
Albuquerque,New Mexico,0,562599,35.212870949999996,-106.71324849574629,0.0,us
Fresno,California,35.3,544510,36.7394421,-119.7848307,0.34201838837030973,us
Tucson,Arizona,21.5,543242,32.2228765,-110.9748477,0.20865250905227659,us
Sacramento,California,20.8,525041,38.5810606,-121.493895,0.2095638204006796,us
Mesa,Arizona,0,509475,33.4151005,-111.8314552,0.0,us
Kansas City,Missouri,60.5,508394,39.100105,-94.5781416,0.628418293120057,us
Atlanta,Georgia,66.5,496461,33.7489924,-84.3902644,0.707132644713763,us
Omaha,Nebraska,31.9,487300,41.2587459,-95.9383758,0.34582088951576156,us
Colorado Springs,Colorado,22.3,483956,38.8339578,-104.825348,0.24383393824051475,us
Raleigh,North Carolina,0,469124,35.7803977,-78.6390989,0.0,us
Virginia Beach,Virginia,3.4,457672,36.8529841,-75.9774183,0.03878525296392049,us
Long Beach,California,17.9,456062,33.7690164,-118.191604,0.2074228566043273,us
Miami,Florida,31.9,439890,25.7741728,-80.19362,0.38346338397036905,us
Oakland,California,39.6,433823,37.8044557,-122.271356,0.4823562640989852,us
Minneapolis,Minnesota,50.2,425336,44.9772995,-93.2654692,0.6233687680711392,us
Tulsa,Oklahoma,45.1,411401,36.1563122,-95.9927516,0.5786374932450107,us
Bakersfield,California,6.2,407615,35.3738712,-119.0194639,0.08080414026629708,us
Wichita,Kansas,7.2,395699,37.6922361,-97.3375448,0.09564598590188043,us
Arlington,Texas,0,392786,32.7355816,-97.1071186,0.0,us
Aurora,Colorado,20.0,389347,39.7405111,-104.830994,0.27081082188770284,us
Tampa,Florida,36.6,387050,27.9477595,-82.458444,0.49888815993056784,us
New Orleans,Louisiana,12.9,376971,29.9759983,-90.0782127,0.18044638124359846,us
Cleveland,Ohio,33.9,367991,41.4996574,-81.6936772,0.4870035587434241,us
Anaheim,California,5.0,345940,33.8347516,-117.911732,0.07700873919490006,us
Honolulu,Hawaii,19.9,345510,21.304547,-157.855676,0.30359058392025506,us
Henderson,Nevada,0,322178,36.0301134,-114.9826194,0.0,us
Stockton,California,29.2,322120,37.9577016,-121.2907796,0.4783759043635053,us
Lexington,Kentucky,0,321793,38.0464066,-84.4970393,0.0,us
Corpus Christi,Texas,6.8,317773,27.7635302,-97.4033191,0.11344945677433885,us
Riverside,California,20.5,317261,33.9533546,-117.3961623,0.3415278001878924,us
Santa Ana,California,12.6,309441,33.7494951,-117.8732213,0.21548927532479864,us
Orlando,Florida,57.6,309154,28.5421109,-81.3790304,0.983235336302879,us
Irvine,California,16.8,309031,33.6856969,-117.8259819,0.2863548178558635,us
Cincinnati,Ohio,49.1,308935,39.1014537,-84.5124602,0.8393143069465548,us
Newark,New Jersey,11.9,307220,40.735657,-74.1723667,0.20496834242146247,us
Saint Paul,Minnesota,50.2,307193,44.9497487,-93.0931028,0.8632616854715054,us
Pittsburgh,Pennsylvania,46.3,300431,40.4416941,-79.9900861,0.8138988304177415,us
Greensboro,North Carolina,0,298263,36.0726355,-79.7919754,0.0,us
St. Louis,Missouri,36.8,293310,38.6280278,-90.1910154,0.6617707334959461,us
Lincoln,Nebraska,1.9,292657,40.8088861,-96.7077751,0.03473457730489535,us
Plano,Texas,36.2,288253,33.0136764,-96.6925096,0.6633037031886067,us
Anchorage,Alaska,0,288121,61.2163129,-149.894852,0.0,us
Durham,North Carolina,13.0,285527,35.996653,-78.9018053,0.24086812488632342,us
Jersey City,New Jersey,13.7,283927,40.7215682,-74.047455,0.2540214500570396,us
Chandler,Arizona,0,279458,33.3062031,-111.8411851,0.0,us
Chula Vista,California,14.8,277220,32.6400541,-117.0841955,0.2814494413078583,us
Buffalo,New York,28.9,276807,42.8867166,-78.8783922,0.5508588292168898,us
North Las Vegas,Nevada,22.1,274133,36.2005843,-115.121584,0.42524903016902016,us
Gilbert,Arizona,0,273136,33.3527632,-111.789037,0.0,us
Madison,Wisconsin,0,269196,43.074761,-89.3837613,0.0,us
Reno,Nevada,19.2,268851,39.5261206,-119.8126581,0.3767443004742303,us
Toledo,Ohio,21.2,268508,41.6529143,-83.5378173,0.417131506988141,us
Fort Wayne,Indiana,0,265974,41.0799898,-85.1386015,0.0,us
