city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region,cumulative_population,cumulative_lane-miles
New York,New York,13.2,8467513,40.7127281,-74.0060152,0.00822154591918898,US,8467513,13.184857377051069
Los Angeles,California,50.3,3849297,34.0536909,-118.242766,0.06898611292056955,US,12316810,63.47804629879531
Chicago,Illinois,8.9,2696555,41.8755616,-87.6244212,0.01743688350313477,US,15013365,72.38325754780962
Houston,Texas,60.2,2288250,29.7589382,-95.3676974,0.13884985839274394,US,17301615,132.558103848415
Phoenix,Arizona,9.9,1624569,33.4484367,-112.074141,0.03228113091013799,US,18926184,142.4904759244665
Philadelphia,Pennsylvania,21.3,1576251,39.9527237,-75.1635262,0.07137270269309838,US,20502435,163.7975391806595
San Antonio,Texas,45.9,1451853,29.4246002,-98.4951405,0.16694723054115992,US,21954288,209.70337961681
San Diego,California,48.1,1381611,32.7174202,-117.1627728,0.18376383695594134,US,23335899,257.78863312827497
Dallas,Texas,87.0,1288457,32.7762719,-96.7968559,0.3564832941254,US,24624356,344.7798065561027
San Jose,California,45.9,983489,37.3361663,-121.890591,0.24630764733987362,US,25607845,390.65875764978546
Austin,Texas,14.7,964177,30.2711286,-97.7436995,0.08042862586897,US,26572022,405.34577113547977
Jacksonville,Florida,17.8,954614,30.3321838,-81.655651,0.09830190596506981,US,27526636,423.11856955611216
Fort Worth,Texas,58.8,935508,32.753177,-97.3327459,0.33171733990004326,US,28462144,481.89209705899276
Columbus,Ohio,46.2,906528,39.9622601,-83.0007065,0.2688059257329587,US,29368672,528.0436308171078
Indianapolis,Indiana,17.2,882039,39.7683331,-86.1583502,0.10313312641199504,US,30250711,545.272312576068
Charlotte,North Carolina,52.8,879709,35.2272086,-80.8430827,0.31716292105405486,US,31130420,598.1153194165114
San Francisco,California,18.3,815201,37.7790262,-122.419906,0.1188018026392407,US,31945621,616.4576202334265
Seattle,Washington,41.2,733919,47.6038321,-122.330062,0.29632735226346574,US,32679540,657.6470660754436
Denver,Colorado,0,711463,39.7392364,-104.984862,0.0,US,33391003,657.6470660754436
Oklahoma City,Oklahoma,13.6,687725,35.4729886,-97.5170536,0.10478126433305054,US,34078728,671.2949249795056
Nashville,Tennessee,35.6,678851,36.1622767,-86.7742984,0.2771783922751263,US,34757579,706.9318243685892
El Paso,Texas,45.3,678415,31.7865623,-106.441207,0.3523668076969397,US,35435994,752.2066213086875
Washington,District of Columbia,17.8,670050,38.8950368,-77.0365427,0.14063496209412338,US,36106044,770.0536774358026
Boston,Massachusetts,32.0,654776,42.3554334,-71.060511,0.25840022306891025,US,36760820,802.0980457047739
Las Vegas,Nevada,67.5,646790,36.1672559,-115.148516,0.5508896082698749,US,37407610,869.5809793663027
Portland,Oregon,45.1,641162,45.5202471,-122.674194,0.37172471148399966,US,38048772,914.7203277497315
Detroit,Michigan,38.6,632464,42.3315509,-83.0466403,0.32197143687492885,US,38681236,953.2876275322438
Louisville,Kentucky,33.9,628594,38.2542376,-85.759407,0.285156047091689,US,39309830,987.2359950067804
Memphis,Tennessee,15.9,628127,35.1460249,-90.0517638,0.1333055552981953,US,39937957,1003.0944833652633
Baltimore,Maryland,17.3,576498,39.2908816,-76.610759,0.15839097967679341,US,40514455,1020.3884384792239
Milwaukee,Wisconsin,48.7,569330,43.0349931,-87.922497,0.45134198455011504,US,41083785,1069.0555847034504
Albuquerque,New Mexico,11.1,562599,35.084386,-106.650424,0.10428731344235376,US,41646384,1080.1676942215101
Fresno,California,35.3,544510,36.7394421,-119.7848307,0.34201838837030973,US,42190894,1115.4389882842975
Tucson,Arizona,21.5,543242,32.2228765,-110.9748477,0.20865250905227659,US,42734136,1136.906565239331
Sacramento,California,20.8,525041,38.5810606,-121.493895,0.2095638204006796,US,43259177,1157.7455042217161
Mesa,Arizona,0,509475,33.4151005,-111.8314552,0.0,US,43768652,1157.7455042217161
Kansas City,Missouri,60.5,508394,39.100105,-94.5781416,0.628418293120057,US,44277046,1218.253854546049
Atlanta,Georgia,66.5,496461,33.7489924,-84.3902644,0.707132644713763,US,44773507,1284.743206804996
Omaha,Nebraska,31.9,487300,41.2587459,-95.9383758,0.34582088951576156,US,45260807,1316.6595930665546
Colorado Springs,Colorado,22.3,483956,38.8339578,-104.825348,0.24383393824051475,US,45744763,1339.0090054557832
Raleigh,North Carolina,0,469124,35.7803977,-78.6390989,0.0,US,46213887,1339.0090054557832
Virginia Beach,Virginia,3.4,457672,36.8529841,-75.9774183,0.03878525296392049,US,46671559,1342.3709229358028
Long Beach,California,17.9,456062,33.7690164,-118.191604,0.2074228566043273,US,47127621,1360.2871507442655
Miami,Florida,31.9,439890,25.7741728,-80.19362,0.38346338397036905,US,47567511,1392.2344439212968
Oakland,California,39.6,433823,37.8044557,-122.271356,0.4823562640989852,US,48001334,1431.866497247095
Minneapolis,Minnesota,50.2,425336,44.9772995,-93.2654692,0.6233687680711392,US,48426670,1482.0826295077588
Tulsa,Oklahoma,45.1,411401,36.1563122,-95.9927516,0.5786374932450107,US,48838071,1527.1682437802003
Bakersfield,California,6.2,407615,35.3738712,-119.0194639,0.08080414026629708,US,49245686,1533.406308104944
Wichita,Kansas,7.2,395699,37.6922361,-97.3375448,0.09564598590188043,US,49641385,1540.5743045017978
Arlington,Texas,0,392786,32.7355816,-97.1071186,0.0,US,50034171,1540.5743045017978
Aurora,Colorado,20.0,389347,39.7405111,-104.830994,0.27081082188770284,US,50423518,1560.5438842498113
Tampa,Florida,36.6,387050,27.9477595,-82.458444,0.49888815993056784,US,50810568,1597.114843018964
New Orleans,Louisiana,12.9,376971,29.9759983,-90.0782127,0.18044638124359846,US,51187539,1609.997996955286
Cleveland,Ohio,33.9,367991,41.4996574,-81.6936772,0.4870035587434241,US,51555530,1643.9398391116404
Anaheim,California,5.0,345940,33.8347516,-117.911732,0.07700873919490006,US,51901470,1648.9853700277547
Honolulu,Hawaii,19.9,345510,21.304547,-157.855676,0.30359058392025506,US,52246980,1668.8515788630364
Henderson,Nevada,0,322178,36.0301134,-114.9826194,0.0,US,52569158,1668.8515788630364
Stockton,California,29.2,322120,37.9577016,-121.2907796,0.4783759043635053,US,52891278,1698.0361330890917
Lexington,Kentucky,0,321793,38.0464066,-84.4970393,0.0,US,53213071,1698.0361330890917
Corpus Christi,Texas,6.8,317773,27.7635302,-97.4033191,0.11344945677433885,US,53530844,1704.864006995825
Riverside,California,20.5,317261,33.9533546,-117.3961623,0.3415278001878924,US,53848105,1725.3854940063195
Santa Ana,California,12.6,309441,33.7494951,-117.8732213,0.21548927532479864,US,54157546,1738.0145123483235
Orlando,Florida,57.6,309154,28.5421109,-81.3790304,0.983235336302879,US,54466700,1795.584803476994
Irvine,California,16.8,309031,33.6856969,-117.8259819,0.2863548178558635,US,54775731,1812.3447496354818
Cincinnati,Ohio,49.1,308935,39.1014537,-84.5124602,0.8393143069465548,US,55084666,1861.4533794492193
Newark,New Jersey,11.9,307220,40.735657,-74.1723667,0.20496834242146247,US,55391886,1873.3795866762498
Saint Paul,Minnesota,50.2,307193,44.9497487,-93.0931028,0.8632616854715054,US,55699079,1923.6045766279635
Pittsburgh,Pennsylvania,46.3,300431,40.4416941,-79.9900861,0.8138988304177415,US,55999510,1969.9152659312272
Greensboro,North Carolina,0,298263,36.0726355,-79.7919754,0.0,US,56297773,1969.9152659312272
St. Louis,Missouri,36.8,293310,38.6280278,-90.1910154,0.6617707334959461,US,56591083,2006.677382189124
Lincoln,Nebraska,1.9,292657,40.8088861,-96.7077751,0.03473457730489535,US,56883740,2008.6026316569873
Plano,Texas,36.2,288253,33.0136764,-96.6925096,0.6633037031886067,US,57171993,2044.8146169515376
Anchorage,Alaska,0,288121,61.2163129,-149.894852,0.0,US,57460114,2044.8146169515376
Durham,North Carolina,13.0,285527,35.996653,-78.9018053,0.24086812488632342,US,57745641,2057.840062613359
Jersey City,New Jersey,13.7,283927,40.7215682,-74.047455,0.2540214500570396,US,58029568,2071.499825539561
Chandler,Arizona,0,279458,33.3062031,-111.8411851,0.0,US,58309026,2071.499825539561
Chula Vista,California,14.8,277220,32.6400541,-117.0841955,0.2814494413078583,US,58586246,2086.276987304592
Buffalo,New York,28.9,276807,42.8867166,-78.8783922,0.5508588292168898,US,58863053,2115.1560744142585
North Las Vegas,Nevada,22.1,274133,36.2005843,-115.121584,0.42524903016902016,US,59137186,2137.234633578524
Gilbert,Arizona,0,273136,33.3527632,-111.789037,0.0,US,59410322,2137.234633578524
Madison,Wisconsin,0,269196,43.074761,-89.3837613,0.0,US,59679518,2137.234633578524
Reno,Nevada,19.2,268851,39.5261206,-119.8126581,0.3767443004742303,US,59948369,2156.4179824282965
