city,subregion,parking,population,lat,lon,parking_per_pop,region,%_parking,cumulative_population,cumulative_parking
New York,New York,12.3,8467513,40.7127281,-74.0060152,0.063022266,us,0.006093014,8467513,12.3
Los Angeles,California,110.1,3849297,34.0536909,-118.242766,1.246332507,us,0.054776922,12316810,122.4
Chicago,Illinois,49.8,2696555,41.8755616,-87.6244212,0.803726874,us,0.024745718,15013365,172.2
Houston,Texas,167.2,2288250,29.7589382,-95.3676974,3.182684047,us,0.08315326,17301615,339.4
Phoenix,Arizona,165.9,1624569,33.4484367,-112.074141,4.446995706,us,0.082487312,18926184,505.3
Philadelphia,Pennsylvania,97.2,1576251,39.9527237,-75.1635262,2.684787477,us,0.048318959,20502435,602.5
San Antonio,Texas,131.1,1451853,29.4246002,-98.4951405,3.934330836,us,0.065219251,21954288,733.6
San Diego,California,99.6,1381611,32.7174202,-117.1627728,3.139981122,us,0.049533054,23335899,833.2
Dallas,Texas,171.3,1288457,32.7762719,-96.7968559,5.789679355,us,0.085173937,24624356,1004.5
San Jose,California,95.8,983489,37.3361663,-121.890591,4.241749944,us,0.047631784,25607845,1100.3
Austin,Texas,62.5,964177,30.2711286,-97.7436995,2.824395191,us,0.031093135,26572022,1162.8
Jacksonville,Florida,85,954614,30.3321838,-81.655651,3.877435911,us,0.042262454,27526636,1247.8
Fort Worth,Texas,91.4,935508,32.753177,-97.3327459,4.254768506,us,0.045447053,28462144,1339.2
Columbus,Ohio,215,906528,39.9622601,-83.0007065,10.33280496,us,0.106950233,29368672,1554.2
Indianapolis,Indiana,351.4,882039,39.7683331,-86.1583502,17.35407351,us,0.174771858,30250711,1905.6
Charlotte,North Carolina,103.3,879709,35.2272086,-80.8430827,5.113117788,us,0.051357883,31130420,2008.9
San Francisco,California,60.9,815201,37.7790262,-122.419906,3.255340699,us,0.030300056,31945621,2069.8
Seattle,Washington,68.6,733919,47.6038321,-122.330062,4.073985814,us,0.034138932,32679540,2138.4
Denver,Colorado,188.7,711463,39.7392364,-104.984862,11.55066084,us,0.093829939,33391003,2327.1
Oklahoma City,Oklahoma,120.1,687725,35.4729886,-97.5170536,7.608035704,us,0.059740608,34078728,2447.2
Nashville,Tennessee,172.3,678851,36.1622767,-86.7742984,11.0547164,us,0.085684911,34757579,2619.5
El Paso,Texas,4.3,678415,31.7865623,-106.441207,0.277737333,us,0.002151355,35435994,2623.8
Washington,District of Columbia,33.9,670050,38.8950368,-77.0365427,2.201115044,us,0.016839618,36106044,2657.7
Boston,Massachusetts,87.7,654776,42.3554334,-71.060511,5.834798291,us,0.043621529,36760820,2745.4
Las Vegas,Nevada,115.7,646790,36.1672559,-115.148516,7.79405563,us,0.057558449,37407610,2861.1
Portland,Oregon,120.4,641162,45.5202471,-122.674194,8.178830931,us,0.059874416,38048772,2981.5
Detroit,Michigan,224.5,632464,42.3315509,-83.0466403,15.46225502,us,0.111658278,38681236,3206
Louisville,Kentucky,147.7,628594,38.2542376,-85.759407,10.23512877,us,0.073459137,39309830,3353.7
Memphis,Tennessee,75.5,628127,35.1460249,-90.0517638,5.235284299,us,0.037546548,39937957,3429.2
Baltimore,Maryland,125.2,576498,39.2908816,-76.610759,9.458377389,us,0.062258224,40514455,3554.4
Milwaukee,Wisconsin,185.2,569330,43.0349931,-87.922497,14.16616691,us,0.092087081,41083785,3739.6
Albuquerque,New Mexico,15.6,562599,35.21287095,-106.7132485,1.20550088,us,0.007743704,41646384,3755.2
Fresno,California,93.9,544510,36.7394421,-119.7848307,7.510841029,us,0.046695681,42190894,3849.1
Tucson,Arizona,190.1,543242,32.2228765,-110.9748477,15.24380148,us,0.094551605,42734136,4039.2
Sacramento,California,80.2,525041,38.5810606,-121.493895,6.65322859,us,0.039884848,43259177,4119.4
Mesa,Arizona,49.2,509475,33.4151005,-111.8314552,4.206899735,us,0.024471879,43768652,4168.6
Kansas City,Missouri,220.7,508394,39.100105,-94.5781416,18.90573524,us,0.109742859,44277046,4389.3
Atlanta,Georgia,113.4,496461,33.7489924,-84.3902644,9.953805906,us,0.056423054,44773507,4502.7
Omaha,Nebraska,142.2,487300,41.2587459,-95.9383758,12.7129615,us,0.070733545,45260807,4644.9
Colorado Springs,Colorado,90.5,483956,38.8339578,-104.825348,8.149580078,us,0.045032224,45744763,4735.4
Raleigh,North Carolina,151.9,469124,35.7803977,-78.6390989,14.10049121,us,0.075527338,46213887,4887.3
Virginia Beach,Virginia,65.7,457672,36.8529841,-75.9774183,6.251049545,us,0.032665519,46671559,4953
Long Beach,California,68.2,456062,33.7690164,-118.191604,6.513096861,us,0.033915147,47127621,5021.2
Miami,Florida,67.4,439890,25.7741728,-80.19362,6.670059861,us,0.033500871,47567511,5088.6
Oakland,California,122.6,433823,37.8044557,-122.271356,12.3149737,us,0.060999791,48001334,5211.2
Minneapolis,Minnesota,131.6,425336,44.9772995,-93.2654692,13.47976164,us,0.065463111,48426670,5342.8
Tulsa,Oklahoma,169.5,411401,36.1563122,-95.9927516,17.94880279,us,0.084310781,48838071,5512.3
Bakersfield,California,57.4,407615,35.3738712,-119.0194639,6.138863874,us,0.028570671,49245686,5569.7
Wichita,Kansas,109.7,395699,37.6922361,-97.3375448,12.08021199,us,0.054578525,49641385,5679.4
Arlington,Texas,104.5,392786,32.7355816,-97.1071186,11.59455129,us,0.051998669,50034171,5783.9
Aurora,Colorado,96.8,389347,39.7405111,-104.830994,10.83038548,us,0.048146312,50423518,5880.7
Tampa,Florida,158.1,387050,27.9477595,-82.458444,17.79383373,us,0.078635542,50810568,6038.8
New Orleans,Louisiana,21.5,376971,29.9759983,-90.0782127,2.487421556,us,0.010706305,51187539,6060.3
